carat,cut,color,clarity,depth,table,price,x,y,z,volume,dimension_ratio,carat_category,Cluster,price_usd,Segment
0.3,Good,J,SI1,63.8,56.0,5.863631175598097,4.23,4.26,2.71,48.833658,1.566420664206642,Light,1,350.9999999999999,Mid-Range Segment
0.3,Very Good,J,SI1,62.7,59.0,5.863631175598097,4.21,4.27,2.66,47.818022,1.593984962406015,Light,3,350.9999999999999,Budget Segment
0.3,Good,I,SI2,63.3,56.0,5.863631175598097,4.26,4.3,2.71,49.64177999999999,1.5793357933579333,Light,1,350.9999999999999,Mid-Range Segment
0.23,Very Good,E,VS2,63.8,55.0,5.8664680569332965,3.85,3.92,2.48,37.42816,1.566532258064516,Light,1,351.99999999999994,Mid-Range Segment
0.23,Very Good,H,VS1,61.0,57.0,5.869296913133774,3.94,3.96,2.41,37.601784,1.639004149377593,Light,3,352.99999999999994,Budget Segment
0.31,Very Good,J,SI1,59.4,62.0,5.869296913133774,4.39,4.43,2.62,50.952974,1.683206106870229,Light,3,352.99999999999994,Budget Segment
0.23,Very Good,G,VVS2,60.4,58.0,5.872117789475416,3.97,4.01,2.41,38.366477,1.6556016597510372,Light,3,354.00000000000006,Budget Segment
0.24,Premium,I,VS1,62.5,57.0,5.87493073085203,3.97,3.94,2.47,38.635246,1.6012145748987854,Light,1,355.0,Mid-Range Segment
0.3,Very Good,J,VS2,62.2,57.0,5.8805329864007,4.28,4.3,2.67,49.13868,1.606741573033708,Light,1,357.0,Mid-Range Segment
0.23,Very Good,D,VS2,60.5,61.0,5.8805329864007,3.96,3.97,2.4,37.73088,1.6520833333333331,Light,3,357.0,Budget Segment
0.23,Very Good,F,VS1,60.9,57.0,5.8805329864007,3.96,3.99,2.42,38.236968000000005,1.6425619834710743,Light,3,357.0,Budget Segment
0.23,Very Good,F,VS1,60.0,57.0,5.998936561946683,4.0,4.03,2.41,38.8492,1.66597510373444,Light,3,401.99999999999983,Budget Segment
0.23,Very Good,F,VS1,59.8,57.0,5.998936561946683,4.04,4.06,2.42,39.693808,1.6735537190082643,Light,3,401.99999999999983,Budget Segment
0.23,Very Good,E,VS1,60.7,59.0,5.998936561946683,3.97,4.01,2.42,38.525674,1.6487603305785126,Light,3,401.99999999999983,Budget Segment
0.23,Very Good,E,VS1,59.5,58.0,5.998936561946683,4.01,4.06,2.4,39.07343999999999,1.68125,Light,3,401.99999999999983,Budget Segment
0.23,Very Good,D,VS1,61.9,58.0,5.998936561946683,3.92,3.96,2.44,37.876608,1.6147540983606556,Light,3,401.99999999999983,Budget Segment
0.23,Good,E,VS1,64.1,59.0,5.998936561946683,3.83,3.85,2.46,36.27393,1.5609756097560976,Light,1,401.99999999999983,Mid-Range Segment
0.31,Good,H,SI1,64.0,54.0,5.998936561946683,4.29,4.31,2.75,50.847225,1.5636363636363635,Light,1,401.99999999999983,Mid-Range Segment
0.26,Very Good,D,VS2,60.8,59.0,6.001414877961151,4.13,4.16,2.52,43.295616,1.6448412698412698,Light,3,403.0000000000005,Budget Segment
0.33,Ideal,I,SI2,61.8,55.0,6.001414877961151,4.49,4.51,2.78,56.294722,1.6187050359712232,Light,1,403.0000000000005,Mid-Range Segment
0.33,Ideal,I,SI2,61.2,56.0,6.001414877961151,4.49,4.5,2.75,55.563750000000006,1.6345454545454543,Light,1,403.0000000000005,Mid-Range Segment
0.33,Ideal,J,SI1,61.1,56.0,6.001414877961151,4.49,4.55,2.76,56.38542,1.6376811594202898,Light,1,403.0000000000005,Mid-Range Segment
0.32,Good,H,SI2,63.1,56.0,6.001414877961151,4.34,4.37,2.75,52.15595,1.5836363636363635,Light,1,403.0000000000005,Mid-Range Segment
0.29,Premium,F,SI1,62.4,58.0,6.001414877961151,4.24,4.26,2.65,47.86536,1.6037735849056605,Light,1,403.0000000000005,Mid-Range Segment
0.32,Very Good,H,SI2,61.8,55.0,6.001414877961151,4.35,4.42,2.71,52.10517,1.618081180811808,Light,1,403.0000000000005,Mid-Range Segment
0.32,Good,H,SI2,63.8,56.0,6.001414877961151,4.36,4.38,2.79,53.280072,1.5663082437275986,Light,1,403.0000000000005,Mid-Range Segment
0.25,Very Good,E,VS2,63.3,60.0,6.003887067106539,4.0,4.03,2.54,40.9448,1.5807086614173231,Light,3,403.99999999999983,Budget Segment
0.29,Very Good,H,SI2,60.7,60.0,6.003887067106539,4.33,4.37,2.64,49.954344000000006,1.6477272727272725,Light,3,403.99999999999983,Budget Segment
0.24,Very Good,F,SI1,60.9,61.0,6.003887067106539,4.02,4.03,2.45,39.69147,1.6428571428571428,Light,3,403.99999999999983,Budget Segment
0.23,Ideal,G,VS1,61.9,54.0,6.003887067106539,3.93,3.95,2.44,37.87734,1.614754098360656,Light,1,403.99999999999983,Mid-Range Segment
0.32,Ideal,I,SI1,60.9,55.0,6.003887067106539,4.45,4.48,2.72,54.225920000000016,1.6415441176470589,Light,1,403.99999999999983,Mid-Range Segment
0.22,Premium,E,VS2,61.6,58.0,6.003887067106539,3.93,3.89,2.41,36.843357000000005,1.6224066390041494,Light,3,403.99999999999983,Budget Segment
0.22,Premium,D,VS2,59.3,62.0,6.003887067106539,3.91,3.88,2.31,35.044548,1.6861471861471862,Light,3,403.99999999999983,Budget Segment
0.3,Ideal,I,SI2,61.0,59.0,6.0063531596017325,4.3,4.33,2.63,48.96797,1.6406844106463878,Light,3,404.99999999999994,Budget Segment
0.3,Premium,J,SI2,59.3,61.0,6.0063531596017325,4.43,4.38,2.61,50.64287399999999,1.6877394636015324,Light,3,404.99999999999994,Budget Segment
0.3,Very Good,I,SI1,62.6,57.0,6.0063531596017325,4.25,4.28,2.67,48.5673,1.5973782771535583,Light,1,404.99999999999994,Mid-Range Segment
0.3,Very Good,I,SI1,63.0,57.0,6.0063531596017325,4.28,4.32,2.71,50.10681600000001,1.586715867158672,Light,1,404.99999999999994,Mid-Range Segment
0.3,Good,I,SI1,63.2,55.0,6.0063531596017325,4.25,4.29,2.7,49.22775000000001,1.5814814814814813,Light,1,404.99999999999994,Mid-Range Segment
0.35,Ideal,I,VS1,60.9,57.0,6.315358001522335,4.54,4.59,2.78,57.931308,1.6420863309352518,Light,3,552.0000000000001,Budget Segment
0.3,Premium,D,SI1,62.6,59.0,6.315358001522335,4.23,4.27,2.66,48.04518600000001,1.5977443609022557,Light,3,552.0000000000001,Budget Segment
0.3,Ideal,D,SI1,62.5,57.0,6.315358001522335,4.29,4.32,2.69,49.853232000000006,1.600371747211896,Light,1,552.0000000000001,Mid-Range Segment
0.3,Ideal,D,SI1,62.1,56.0,6.315358001522335,4.3,4.33,2.68,49.89892,1.6100746268656714,Light,1,552.0000000000001,Mid-Range Segment
0.42,Premium,I,SI2,61.5,59.0,6.315358001522335,4.78,4.84,2.96,68.480192,1.6250000000000002,Light,3,552.0000000000001,Budget Segment
0.28,Ideal,G,VVS2,61.4,56.0,6.317164686747284,4.19,4.22,2.58,45.619044,1.62984496124031,Light,1,553.0000000000001,Mid-Range Segment
0.32,Ideal,I,VVS1,62.0,55.3,6.317164686747284,4.39,4.42,2.73,52.97237399999999,1.6135531135531134,Light,1,553.0000000000001,Mid-Range Segment
0.31,Very Good,G,SI1,63.3,57.0,6.317164686747284,4.33,4.3,2.73,50.82987,1.5805860805860803,Light,1,553.0000000000001,Mid-Range Segment
0.31,Premium,G,SI1,61.8,58.0,6.317164686747284,4.35,4.32,2.68,50.36256,1.6175373134328357,Light,3,553.0000000000001,Budget Segment
0.24,Premium,E,VVS1,60.7,58.0,6.317164686747284,4.01,4.03,2.44,39.431132,1.647540983606557,Light,3,553.0000000000001,Budget Segment
0.24,Very Good,D,VVS1,61.5,60.0,6.317164686747284,3.97,4.0,2.45,38.906000000000006,1.626530612244898,Light,3,553.0000000000001,Budget Segment
0.3,Very Good,H,SI1,63.1,56.0,6.318968113746434,4.29,4.27,2.7,49.45941,1.5851851851851848,Light,1,554.0,Mid-Range Segment
0.3,Premium,H,SI1,62.9,59.0,6.318968113746434,4.28,4.24,2.68,48.634496000000006,1.58955223880597,Light,1,554.0,Mid-Range Segment
0.3,Premium,H,SI1,62.5,57.0,6.318968113746434,4.29,4.25,2.67,48.680775,1.599250936329588,Light,1,554.0,Mid-Range Segment
0.3,Good,H,SI1,63.7,57.0,6.318968113746434,4.28,4.26,2.72,49.593216000000005,1.5698529411764703,Light,1,554.0,Mid-Range Segment
0.26,Very Good,F,VVS2,59.2,60.0,6.318968113746434,4.19,4.22,2.49,44.027682,1.6887550200803212,Light,3,554.0,Budget Segment
0.26,Very Good,E,VVS2,59.9,58.0,6.318968113746434,4.15,4.23,2.51,44.06179500000001,1.669322709163347,Light,3,554.0,Budget Segment
0.26,Very Good,D,VVS2,62.4,54.0,6.318968113746434,4.08,4.13,2.56,43.137024,1.6035156250000002,Light,1,554.0,Mid-Range Segment
0.26,Very Good,D,VVS2,62.8,60.0,6.318968113746434,4.01,4.05,2.53,41.08846499999999,1.592885375494071,Light,3,554.0,Budget Segment
0.26,Very Good,E,VVS1,62.6,59.0,6.318968113746434,4.06,4.09,2.55,42.34377,1.5980392156862744,Light,3,554.0,Budget Segment
0.26,Very Good,E,VVS1,63.4,59.0,6.318968113746434,4.0,4.04,2.55,41.208,1.576470588235294,Light,1,554.0,Mid-Range Segment
0.26,Very Good,D,VVS1,62.1,60.0,6.318968113746434,4.03,4.12,2.53,42.007108,1.6106719367588935,Light,3,554.0,Budget Segment
0.26,Ideal,E,VVS2,62.9,58.0,6.318968113746434,4.02,4.06,2.54,41.455848,1.5905511811023618,Light,1,554.0,Mid-Range Segment
0.38,Ideal,I,SI2,61.6,56.0,6.318968113746434,4.65,4.67,2.87,62.32348500000001,1.6236933797909407,Light,1,554.0,Mid-Range Segment
0.24,Premium,G,VVS1,62.3,59.0,6.318968113746434,3.95,3.92,2.45,37.9358,1.6061224489795918,Light,3,554.0,Budget Segment
0.24,Premium,H,VVS1,61.2,58.0,6.318968113746434,4.01,3.96,2.44,38.746224,1.6331967213114753,Light,3,554.0,Budget Segment
0.24,Premium,H,VVS1,60.8,59.0,6.318968113746434,4.02,4.0,2.44,39.23519999999999,1.6434426229508197,Light,3,554.0,Budget Segment
0.24,Premium,H,VVS2,60.7,58.0,6.318968113746434,4.07,4.04,2.46,40.449288,1.6483739837398372,Light,3,554.0,Budget Segment
0.32,Premium,I,SI1,62.9,58.0,6.318968113746434,4.35,4.33,2.73,51.420915,1.5897435897435896,Light,1,554.0,Mid-Range Segment
0.7,Ideal,E,SI1,62.5,57.0,7.922261058353247,5.7,5.72,3.57,116.39628,1.5994397759103642,Medium,0,2757.0000000000005,Premium Segment
0.7,Ideal,G,VS2,61.6,56.0,7.922261058353247,5.7,5.67,3.5,113.1165,1.6242857142857143,Medium,1,2757.0000000000005,Mid-Range Segment
0.71,Very Good,E,VS2,62.4,57.0,7.9229859587111955,5.68,5.73,3.56,115.865184,1.6025280898876404,Medium,0,2758.9999999999995,Premium Segment
0.78,Very Good,G,SI2,63.8,56.0,7.9229859587111955,5.81,5.85,3.72,126.43721999999998,1.5672043010752688,Medium,0,2758.9999999999995,Premium Segment
0.7,Good,F,VS1,59.4,62.0,7.9229859587111955,5.71,5.76,3.4,111.82464,1.6867647058823527,Medium,2,2758.9999999999995,Luxury Segment
0.73,Very Good,E,SI1,61.6,59.0,7.923348211930154,5.77,5.78,3.56,118.728136,1.6221910112359552,Medium,3,2759.999999999999,Budget Segment
0.8,Premium,H,SI1,61.5,58.0,7.923348211930154,5.97,5.93,3.66,129.571686,1.625683060109289,Medium,0,2759.999999999999,Premium Segment
0.75,Very Good,D,SI1,63.2,56.0,7.923348211930154,5.8,5.75,3.65,121.7275,1.582191780821918,Medium,0,2759.999999999999,Premium Segment
0.75,Premium,E,SI1,59.9,54.0,7.923348211930154,6.0,5.96,3.58,128.0208,1.670391061452514,Medium,1,2759.999999999999,Mid-Range Segment
0.74,Ideal,G,SI1,61.6,55.0,7.923348211930154,5.8,5.85,3.59,121.8087,1.6225626740947074,Medium,1,2759.999999999999,Mid-Range Segment
0.75,Premium,G,VS2,61.7,58.0,7.923348211930154,5.85,5.79,3.59,121.598685,1.6211699164345406,Medium,0,2759.999999999999,Premium Segment
0.8,Ideal,I,VS1,62.9,56.0,7.923348211930154,5.94,5.87,3.72,129.70821600000002,1.5873655913978495,Medium,0,2759.999999999999,Premium Segment
0.75,Ideal,G,SI1,62.2,55.0,7.923348211930154,5.87,5.8,3.63,123.58698,1.6074380165289257,Medium,1,2759.999999999999,Mid-Range Segment
0.8,Premium,G,SI1,63.0,59.0,7.923348211930154,5.9,5.81,3.69,126.48950999999998,1.586720867208672,Medium,0,2759.999999999999,Premium Segment
0.74,Ideal,I,VVS2,62.3,55.0,7.923710333969238,5.77,5.81,3.61,121.02055699999998,1.60387811634349,Medium,1,2761.0000000000014,Mid-Range Segment
0.81,Ideal,F,SI2,58.8,57.0,7.923710333969238,6.14,6.11,3.6,135.05544,1.7013888888888888,Medium,2,2761.0000000000014,Luxury Segment
0.59,Ideal,E,VVS2,62.0,55.0,7.923710333969238,5.38,5.43,3.35,97.86489,1.6134328358208954,Medium,1,2761.0000000000014,Mid-Range Segment
0.8,Ideal,F,SI2,61.4,57.0,7.923710333969238,5.96,6.0,3.67,131.23919999999998,1.6294277929155314,Medium,0,2761.0000000000014,Premium Segment
0.74,Ideal,E,SI2,62.2,56.0,7.923710333969238,5.8,5.84,3.62,122.61664,1.6077348066298345,Medium,0,2761.0000000000014,Premium Segment
0.9,Premium,I,VS2,63.0,58.0,7.923710333969238,6.16,6.12,3.87,145.89590400000003,1.58656330749354,Medium,0,2761.0000000000014,Premium Segment
0.74,Very Good,G,SI1,62.2,59.0,7.924072324923417,5.73,5.82,3.59,119.721474,1.6086350974930363,Medium,0,2762.000000000001,Premium Segment
0.73,Ideal,F,VS2,62.6,56.0,7.924072324923417,5.77,5.74,3.6,119.23128,1.598611111111111,Medium,0,2762.000000000001,Premium Segment
0.73,Ideal,F,VS2,62.7,53.0,7.924072324923417,5.8,5.75,3.62,120.727,1.5953038674033149,Medium,1,2762.000000000001,Mid-Range Segment
0.8,Premium,F,SI2,61.7,58.0,7.924072324923417,5.98,5.94,3.68,130.71801600000003,1.6195652173913044,Medium,0,2762.000000000001,Premium Segment
0.71,Ideal,G,VS2,62.4,54.0,7.924072324923417,5.72,5.76,3.58,117.95097599999998,1.6033519553072626,Medium,1,2762.000000000001,Mid-Range Segment
0.7,Ideal,E,VS2,60.7,58.0,7.924072324923417,5.73,5.76,3.49,115.186752,1.646131805157593,Medium,2,2762.000000000001,Luxury Segment
0.8,Ideal,F,SI2,59.9,59.0,7.924072324923417,6.01,6.07,3.62,132.060134,1.6685082872928176,Medium,2,2762.000000000001,Luxury Segment
0.71,Ideal,D,SI2,62.3,56.0,7.924072324923417,5.73,5.69,3.56,116.069172,1.6039325842696632,Medium,0,2762.000000000001,Premium Segment
0.74,Ideal,E,SI1,62.3,54.0,7.924072324923417,5.8,5.83,3.62,122.40668,1.606353591160221,Medium,1,2762.000000000001,Mid-Range Segment
0.7,Very Good,F,VS2,61.7,63.0,7.924072324923417,5.64,5.61,3.47,109.792188,1.6210374639769451,Medium,2,2762.000000000001,Luxury Segment
0.7,Fair,F,VS2,64.5,57.0,7.924072324923417,5.57,5.53,3.58,110.271518,1.5502793296089388,Medium,0,2762.000000000001,Premium Segment
0.7,Premium,F,VS2,61.6,60.0,7.924072324923417,5.65,5.59,3.46,109.27891,1.624277456647399,Medium,3,2762.000000000001,Budget Segment
0.91,Premium,H,SI1,61.4,56.0,7.92443418488756,6.09,5.97,3.7,134.52201,1.6297297297297295,Medium,0,2762.999999999999,Premium Segment
0.61,Very Good,D,VVS2,59.6,57.0,7.92443418488756,5.56,5.58,3.32,103.002336,1.6777108433734942,Medium,3,2762.999999999999,Budget Segment
0.91,Fair,H,SI2,64.4,57.0,7.92443418488756,6.11,6.09,3.93,146.234907,1.5521628498727733,Medium,0,2762.999999999999,Premium Segment
0.77,Ideal,H,VS2,62.0,56.0,7.92443418488756,5.89,5.86,3.64,125.636056,1.614010989010989,Medium,0,2762.999999999999,Premium Segment
0.71,Very Good,D,SI1,63.6,58.0,7.9247959139564355,5.64,5.68,3.6,115.32672,1.5722222222222222,Medium,0,2764.000000000001,Premium Segment
0.71,Ideal,D,SI1,61.9,59.0,7.9247959139564355,5.69,5.72,3.53,114.89020399999998,1.61614730878187,Medium,0,2764.000000000001,Premium Segment
0.7,Very Good,E,VS2,62.6,60.0,7.925157512224703,5.62,5.65,3.53,112.08809,1.5963172804532575,Medium,0,2764.9999999999986,Premium Segment
0.77,Very Good,H,VS1,61.3,60.0,7.925157512224703,5.88,5.9,3.61,125.23812,1.6315789473684212,Medium,2,2764.9999999999986,Luxury Segment
0.63,Premium,E,VVS1,60.9,60.0,7.925157512224703,5.52,5.55,3.37,103.24331999999998,1.642433234421365,Medium,3,2764.9999999999986,Budget Segment
0.71,Very Good,F,VS1,60.1,62.0,7.925157512224703,5.74,5.77,3.46,114.594508,1.6632947976878611,Medium,2,2764.9999999999986,Luxury Segment
0.71,Premium,F,VS1,61.8,59.0,7.925157512224703,5.69,5.73,3.53,115.091061,1.6175637393767708,Medium,3,2764.9999999999986,Budget Segment
0.76,Ideal,H,SI1,61.2,57.0,7.925157512224703,5.88,5.91,3.61,125.450388,1.6329639889196674,Medium,0,2764.9999999999986,Premium Segment
0.64,Ideal,G,VVS1,61.9,56.0,7.925518979786926,5.53,5.56,3.43,105.461524,1.6166180758017492,Medium,1,2765.999999999999,Mid-Range Segment
0.71,Premium,G,VS2,60.9,57.0,7.925518979786926,5.78,5.75,3.51,116.65485,1.6424501424501428,Medium,3,2765.999999999999,Budget Segment
0.71,Premium,G,VS2,59.8,56.0,7.925518979786926,5.89,5.81,3.5,119.77314999999996,1.6714285714285713,Medium,2,2765.999999999999,Luxury Segment
0.7,Very Good,D,VS2,61.8,55.0,7.92588031673756,5.68,5.72,3.52,114.363392,1.6193181818181817,Medium,1,2766.9999999999995,Mid-Range Segment
0.7,Very Good,F,VS1,60.0,57.0,7.92588031673756,5.8,5.87,3.5,119.161,1.667142857142857,Medium,2,2766.9999999999995,Luxury Segment
0.71,Ideal,D,SI2,61.6,55.0,7.92588031673756,5.74,5.76,3.54,117.040896,1.6242937853107344,Medium,1,2766.9999999999995,Mid-Range Segment
0.71,Very Good,G,VS1,63.3,59.0,7.926241523170962,5.52,5.61,3.52,109.004544,1.580965909090909,Medium,0,2767.9999999999995,Premium Segment
0.73,Very Good,D,SI1,60.2,56.0,7.926241523170962,5.83,5.87,3.52,120.461792,1.661931818181818,Medium,2,2767.9999999999995,Luxury Segment
0.7,Very Good,D,SI1,61.1,58.0,7.926241523170962,5.66,5.73,3.48,112.862664,1.636494252873563,Medium,3,2767.9999999999995,Budget Segment
0.7,Ideal,E,SI1,60.9,57.0,7.926241523170962,5.73,5.76,3.5,115.51680000000002,1.6414285714285717,Medium,3,2767.9999999999995,Budget Segment
0.71,Premium,D,SI2,61.7,59.0,7.926241523170962,5.71,5.67,3.51,113.638707,1.621082621082621,Medium,3,2767.9999999999995,Budget Segment
0.74,Ideal,I,SI1,61.3,56.0,7.926602599181384,5.82,5.86,3.57,121.755564,1.6358543417366946,Medium,1,2769.000000000001,Mid-Range Segment
0.71,Premium,D,VS2,62.5,60.0,7.926963544862978,5.65,5.61,3.52,111.57168,1.5994318181818183,Medium,0,2769.9999999999977,Premium Segment
0.73,Premium,G,VS2,61.4,59.0,7.926963544862978,5.83,5.76,3.56,119.547648,1.627808988764045,Medium,3,2769.9999999999977,Budget Segment
0.76,Very Good,F,SI1,62.9,57.0,7.926963544862978,5.79,5.81,3.65,122.78563499999998,1.5890410958904109,Medium,0,2769.9999999999977,Premium Segment
0.76,Ideal,D,SI2,62.4,57.0,7.926963544862978,5.78,5.83,3.62,121.98458800000002,1.6035911602209945,Medium,0,2769.9999999999977,Premium Segment
0.71,Ideal,F,SI1,60.7,56.0,7.926963544862978,5.77,5.8,3.51,117.46565999999996,1.6481481481481484,Medium,1,2769.9999999999977,Mid-Range Segment
0.73,Premium,G,VS2,60.7,58.0,7.926963544862978,5.87,5.82,3.55,121.28007,1.6464788732394369,Medium,2,2769.9999999999977,Luxury Segment
0.73,Premium,G,VS1,61.5,58.0,7.926963544862978,5.79,5.75,3.55,118.18837499999998,1.6253521126760564,Medium,0,2769.9999999999977,Premium Segment
0.73,Ideal,D,SI2,59.9,57.0,7.926963544862978,5.92,5.89,3.54,123.435552,1.6680790960451974,Medium,2,2769.9999999999977,Luxury Segment
0.73,Premium,G,VS2,59.2,59.0,7.926963544862978,5.92,5.87,3.49,121.278896,1.6891117478510027,Medium,2,2769.9999999999977,Luxury Segment
0.72,Very Good,H,VVS2,60.3,56.0,7.927324360309794,5.81,5.83,3.51,118.89177299999996,1.6581196581196582,Medium,2,2771.0000000000005,Luxury Segment
0.73,Very Good,F,SI1,61.7,60.0,7.927324360309794,5.79,5.82,3.58,120.638124,1.621508379888268,Medium,3,2771.0000000000005,Budget Segment
0.71,Ideal,G,VS2,61.9,57.0,7.927324360309794,5.73,5.77,3.56,117.701076,1.6151685393258426,Medium,0,2771.0000000000005,Premium Segment
0.79,Ideal,F,SI2,61.9,55.0,7.927324360309794,5.97,5.92,3.68,130.060032,1.6154891304347827,Medium,1,2771.0000000000005,Mid-Range Segment
0.73,Very Good,H,VVS1,60.4,59.0,7.927685045615778,5.83,5.89,3.54,121.558998,1.6553672316384178,Medium,2,2772.0000000000005,Luxury Segment
0.8,Very Good,F,SI2,61.0,57.0,7.927685045615778,6.01,6.03,3.67,133.00190099999998,1.6403269754768393,Medium,2,2772.0000000000005,Luxury Segment
0.58,Ideal,G,VVS1,61.5,55.0,7.927685045615778,5.39,5.44,3.33,97.640928,1.6261261261261262,Medium,1,2772.0000000000005,Mid-Range Segment
0.58,Ideal,F,VVS1,61.7,56.0,7.927685045615778,5.33,5.37,3.3,94.45293,1.621212121212121,Medium,1,2772.0000000000005,Mid-Range Segment
0.71,Good,E,VS2,59.2,61.0,7.927685045615778,5.8,5.88,3.46,117.99984,1.6878612716763006,Medium,2,2772.0000000000005,Luxury Segment
0.75,Ideal,D,SI2,61.3,56.0,7.928045600874777,5.85,5.89,3.6,124.0434,1.630555555555555,Medium,1,2772.999999999999,Mid-Range Segment
1.17,Very Good,J,I1,60.2,61.0,7.928406026180535,6.83,6.9,4.13,194.63451,1.6622276029055691,Medium,2,2774.0,Luxury Segment
0.6,Ideal,E,VS1,61.7,55.0,7.928406026180535,5.41,5.44,3.35,98.59184,1.619402985074627,Medium,1,2774.0,Mid-Range Segment
0.7,Ideal,E,SI1,62.7,55.0,7.928406026180535,5.68,5.74,3.58,116.719456,1.594972067039106,Medium,1,2774.0,Mid-Range Segment
0.83,Good,I,VS2,64.6,54.0,7.928406026180535,5.85,5.88,3.79,130.36842,1.5474934036939314,Medium,0,2774.0,Premium Segment
0.74,Very Good,F,VS2,61.3,61.0,7.928766321626695,5.8,5.84,3.57,120.92304,1.6302521008403363,Medium,2,2774.9999999999986,Luxury Segment
0.72,Very Good,G,VS2,63.7,56.4,7.929126487306799,5.62,5.69,3.61,115.439858,1.5664819944598338,Medium,0,2775.9999999999973,Premium Segment
0.71,Premium,E,VS2,62.7,58.0,7.929126487306799,5.74,5.68,3.58,116.719456,1.594972067039106,Medium,0,2775.9999999999973,Premium Segment
0.71,Ideal,E,VS2,62.2,57.0,7.929126487306799,5.79,5.62,3.55,115.51629,1.6070422535211268,Medium,0,2775.9999999999973,Premium Segment
0.54,Ideal,E,VVS2,61.6,56.0,7.929126487306799,5.25,5.27,3.24,89.64269999999999,1.623456790123457,Medium,1,2775.9999999999973,Mid-Range Segment
0.54,Ideal,E,VVS2,61.5,57.0,7.929126487306799,5.24,5.26,3.23,89.026552,1.6253869969040249,Medium,1,2775.9999999999973,Mid-Range Segment
0.72,Ideal,G,SI1,61.8,56.0,7.929126487306799,5.72,5.75,3.55,116.7595,1.6154929577464787,Medium,1,2775.9999999999973,Mid-Range Segment
0.72,Ideal,G,SI1,60.7,56.0,7.929126487306799,5.79,5.82,3.53,118.953234,1.644475920679887,Medium,1,2775.9999999999973,Mid-Range Segment
0.72,Good,G,VS2,59.7,60.5,7.929126487306799,5.8,5.84,3.47,117.53584,1.6772334293948126,Medium,2,2775.9999999999973,Luxury Segment
0.71,Ideal,G,SI1,60.5,56.0,7.929126487306799,5.8,5.76,3.5,116.928,1.6514285714285712,Medium,2,2775.9999999999973,Luxury Segment
0.7,Very Good,D,VS1,62.7,58.0,7.9294865233142895,5.66,5.73,3.57,115.781526,1.5952380952380951,Medium,0,2777.0000000000014,Premium Segment
0.71,Premium,F,VS2,62.1,58.0,7.9294865233142895,5.67,5.7,3.53,114.08607,1.6104815864022666,Medium,0,2777.0000000000014,Premium Segment
0.71,Very Good,F,VS2,62.8,57.0,7.9294865233142895,5.64,5.69,3.56,114.246096,1.5912921348314606,Medium,0,2777.0000000000014,Premium Segment
0.71,Good,F,VS2,63.8,58.0,7.9294865233142895,5.61,5.64,3.59,113.589036,1.5668523676880224,Medium,0,2777.0000000000014,Premium Segment
