carat,cut,color,clarity,depth,table,price,x,y,z
0.26,Very Good,E,VVS1,63.4,59.0,6.318968113746434,4.0,4.04,2.55
0.26,Very Good,D,VVS1,62.1,60.0,6.318968113746434,4.03,4.12,2.53
0.26,Ideal,E,VVS2,62.9,58.0,6.318968113746434,4.02,4.06,2.54
0.38,Ideal,I,SI2,61.6,56.0,6.318968113746434,4.65,4.67,2.87
0.24,Premium,G,VVS1,62.3,59.0,6.318968113746434,3.95,3.92,2.45
0.24,Premium,H,VVS1,61.2,58.0,6.318968113746434,4.01,3.96,2.44
0.24,Premium,H,VVS1,60.8,59.0,6.318968113746434,4.02,4.0,2.44
0.24,Premium,H,VVS2,60.7,58.0,6.318968113746434,4.07,4.04,2.46
0.32,Premium,I,SI1,62.9,58.0,6.318968113746434,4.35,4.33,2.73
0.7,Ideal,E,SI1,62.5,57.0,7.922261058353247,5.7,5.72,3.57
0.7,Ideal,G,VS2,61.6,56.0,7.922261058353247,5.7,5.67,3.5
0.71,Very Good,E,VS2,62.4,57.0,7.9229859587111955,5.68,5.73,3.56
0.78,Very Good,G,SI2,63.8,56.0,7.9229859587111955,5.81,5.85,3.72
0.7,Good,F,VS1,59.4,62.0,7.9229859587111955,5.71,5.76,3.4
0.73,Very Good,E,SI1,61.6,59.0,7.923348211930154,5.77,5.78,3.56
0.8,Premium,H,SI1,61.5,58.0,7.923348211930154,5.97,5.93,3.66
0.75,Very Good,D,SI1,63.2,56.0,7.923348211930154,5.8,5.75,3.65
0.75,Premium,E,SI1,59.9,54.0,7.923348211930154,6.0,5.96,3.58
0.74,Ideal,G,SI1,61.6,55.0,7.923348211930154,5.8,5.85,3.59
0.75,Premium,G,VS2,61.7,58.0,7.923348211930154,5.85,5.79,3.59
0.8,Ideal,I,VS1,62.9,56.0,7.923348211930154,5.94,5.87,3.72
0.75,Ideal,G,SI1,62.2,55.0,7.923348211930154,5.87,5.8,3.63
0.8,Premium,G,SI1,63.0,59.0,7.923348211930154,5.9,5.81,3.69
0.74,Ideal,I,VVS2,62.3,55.0,7.923710333969238,5.77,5.81,3.61
0.81,Ideal,F,SI2,58.8,57.0,7.923710333969238,6.14,6.11,3.6
0.59,Ideal,E,VVS2,62.0,55.0,7.923710333969238,5.38,5.43,3.35
0.8,Ideal,F,SI2,61.4,57.0,7.923710333969238,5.96,6.0,3.67
0.74,Ideal,E,SI2,62.2,56.0,7.923710333969238,5.8,5.84,3.62
0.9,Premium,I,VS2,63.0,58.0,7.923710333969238,6.16,6.12,3.87
0.74,Very Good,G,SI1,62.2,59.0,7.924072324923417,5.73,5.82,3.59
0.73,Ideal,F,VS2,62.6,56.0,7.924072324923417,5.77,5.74,3.6
0.73,Ideal,F,VS2,62.7,53.0,7.924072324923417,5.8,5.75,3.62
0.8,Premium,F,SI2,61.7,58.0,7.924072324923417,5.98,5.94,3.68
0.71,Ideal,G,VS2,62.4,54.0,7.924072324923417,5.72,5.76,3.58
0.7,Ideal,E,VS2,60.7,58.0,7.924072324923417,5.73,5.76,3.49
0.8,Ideal,F,SI2,59.9,59.0,7.924072324923417,6.01,6.07,3.62
0.71,Ideal,D,SI2,62.3,56.0,7.924072324923417,5.73,5.69,3.56
0.74,Ideal,E,SI1,62.3,54.0,7.924072324923417,5.8,5.83,3.62
0.7,Very Good,F,VS2,61.7,63.0,7.924072324923417,5.64,5.61,3.47
0.7,Fair,F,VS2,64.5,57.0,7.924072324923417,5.57,5.53,3.58
0.7,Premium,F,VS2,61.6,60.0,7.924072324923417,5.65,5.59,3.46
0.91,Premium,H,SI1,61.4,56.0,7.92443418488756,6.09,5.97,3.7
0.61,Very Good,D,VVS2,59.6,57.0,7.92443418488756,5.56,5.58,3.32
0.91,Fair,H,SI2,64.4,57.0,7.92443418488756,6.11,6.09,3.93
0.77,Ideal,H,VS2,62.0,56.0,7.92443418488756,5.89,5.86,3.64
0.71,Very Good,D,SI1,63.6,58.0,7.9247959139564355,5.64,5.68,3.6
0.71,Ideal,D,SI1,61.9,59.0,7.9247959139564355,5.69,5.72,3.53
0.7,Very Good,E,VS2,62.6,60.0,7.925157512224703,5.62,5.65,3.53
0.77,Very Good,H,VS1,61.3,60.0,7.925157512224703,5.88,5.9,3.61
0.63,Premium,E,VVS1,60.9,60.0,7.925157512224703,5.52,5.55,3.37
0.71,Very Good,F,VS1,60.1,62.0,7.925157512224703,5.74,5.77,3.46
0.71,Premium,F,VS1,61.8,59.0,7.925157512224703,5.69,5.73,3.53
0.76,Ideal,H,SI1,61.2,57.0,7.925157512224703,5.88,5.91,3.61
0.64,Ideal,G,VVS1,61.9,56.0,7.925518979786926,5.53,5.56,3.43
0.71,Premium,G,VS2,60.9,57.0,7.925518979786926,5.78,5.75,3.51
0.71,Premium,G,VS2,59.8,56.0,7.925518979786926,5.89,5.81,3.5
0.7,Very Good,D,VS2,61.8,55.0,7.92588031673756,5.68,5.72,3.52
0.7,Very Good,F,VS1,60.0,57.0,7.92588031673756,5.8,5.87,3.5
0.71,Ideal,D,SI2,61.6,55.0,7.92588031673756,5.74,5.76,3.54
0.71,Very Good,G,VS1,63.3,59.0,7.926241523170962,5.52,5.61,3.52
0.73,Very Good,D,SI1,60.2,56.0,7.926241523170962,5.83,5.87,3.52
0.7,Very Good,D,SI1,61.1,58.0,7.926241523170962,5.66,5.73,3.48
0.7,Ideal,E,SI1,60.9,57.0,7.926241523170962,5.73,5.76,3.5
0.71,Premium,D,SI2,61.7,59.0,7.926241523170962,5.71,5.67,3.51
0.74,Ideal,I,SI1,61.3,56.0,7.926602599181384,5.82,5.86,3.57
0.71,Premium,D,VS2,62.5,60.0,7.9269635448629785,5.65,5.61,3.52
0.73,Premium,G,VS2,61.4,59.0,7.9269635448629785,5.83,5.76,3.56
0.76,Very Good,F,SI1,62.9,57.0,7.9269635448629785,5.79,5.81,3.65
0.76,Ideal,D,SI2,62.4,57.0,7.9269635448629785,5.78,5.83,3.62
0.71,Ideal,F,SI1,60.7,56.0,7.9269635448629785,5.77,5.8,3.51
0.73,Premium,G,VS2,60.7,58.0,7.9269635448629785,5.87,5.82,3.55
0.73,Premium,G,VS1,61.5,58.0,7.9269635448629785,5.79,5.75,3.55
0.73,Ideal,D,SI2,59.9,57.0,7.9269635448629785,5.92,5.89,3.54
0.73,Premium,G,VS2,59.2,59.0,7.9269635448629785,5.92,5.87,3.49
0.72,Very Good,H,VVS2,60.3,56.0,7.927324360309794,5.81,5.83,3.51
0.73,Very Good,F,SI1,61.7,60.0,7.927324360309794,5.79,5.82,3.58
0.71,Ideal,G,VS2,61.9,57.0,7.927324360309794,5.73,5.77,3.56
0.79,Ideal,F,SI2,61.9,55.0,7.927324360309794,5.97,5.92,3.68
0.73,Very Good,H,VVS1,60.4,59.0,7.927685045615778,5.83,5.89,3.54
0.8,Very Good,F,SI2,61.0,57.0,7.927685045615778,6.01,6.03,3.67
0.58,Ideal,G,VVS1,61.5,55.0,7.927685045615778,5.39,5.44,3.33
0.58,Ideal,F,VVS1,61.7,56.0,7.927685045615778,5.33,5.37,3.3
0.71,Good,E,VS2,59.2,61.0,7.927685045615778,5.8,5.88,3.46
0.75,Ideal,D,SI2,61.3,56.0,7.928045600874777,5.85,5.89,3.6
1.17,Very Good,J,I1,60.2,61.0,7.928406026180535,6.83,6.9,4.13
0.6,Ideal,E,VS1,61.7,55.0,7.928406026180535,5.41,5.44,3.35
0.7,Ideal,E,SI1,62.7,55.0,7.928406026180535,5.68,5.74,3.58
0.83,Good,I,VS2,64.6,54.0,7.928406026180535,5.85,5.88,3.79
0.74,Very Good,F,VS2,61.3,61.0,7.9287663216266955,5.8,5.84,3.57
0.72,Very Good,G,VS2,63.7,56.4,7.9291264873067995,5.62,5.69,3.61
0.71,Premium,E,VS2,62.7,58.0,7.9291264873067995,5.74,5.68,3.58
0.71,Ideal,E,VS2,62.2,57.0,7.9291264873067995,5.79,5.62,3.55
0.54,Ideal,E,VVS2,61.6,56.0,7.9291264873067995,5.25,5.27,3.24
0.54,Ideal,E,VVS2,61.5,57.0,7.9291264873067995,5.24,5.26,3.23
0.72,Ideal,G,SI1,61.8,56.0,7.9291264873067995,5.72,5.75,3.55
0.72,Ideal,G,SI1,60.7,56.0,7.9291264873067995,5.79,5.82,3.53
0.72,Good,G,VS2,59.7,60.5,7.9291264873067995,5.8,5.84,3.47
0.71,Ideal,G,SI1,60.5,56.0,7.9291264873067995,5.8,5.76,3.5
0.7,Very Good,D,VS1,62.7,58.0,7.9294865233142895,5.66,5.73,3.57
0.71,Premium,F,VS2,62.1,58.0,7.9294865233142895,5.67,5.7,3.53
0.71,Very Good,F,VS2,62.8,57.0,7.9294865233142895,5.64,5.69,3.56
0.71,Good,F,VS2,63.8,58.0,7.9294865233142895,5.61,5.64,3.59
0.7,Ideal,E,VS2,62.1,55.0,7.9294865233142895,5.7,5.67,3.53
0.7,Premium,E,VS2,61.1,60.0,7.9294865233142895,5.71,5.64,3.47
0.7,Premium,E,SI1,60.0,59.0,7.9294865233142895,5.79,5.75,3.46
0.7,Premium,E,SI1,61.2,57.0,7.9294865233142895,5.73,5.68,3.49
0.7,Premium,E,SI1,62.7,59.0,7.9294865233142895,5.67,5.63,3.54
0.7,Premium,E,SI1,61.0,57.0,7.9294865233142895,5.73,5.68,3.48
0.7,Premium,E,SI1,61.0,58.0,7.9294865233142895,5.78,5.72,3.51
0.7,Ideal,E,SI1,61.4,57.0,7.9294865233142895,5.76,5.7,3.52
0.72,Premium,F,SI1,61.8,61.0,7.9294865233142895,5.82,5.71,3.56
0.7,Very Good,E,SI1,59.9,63.0,7.9294865233142895,5.76,5.7,3.43
0.7,Premium,E,SI1,61.3,58.0,7.9294865233142895,5.71,5.68,3.49
0.7,Premium,E,SI1,60.5,58.0,7.9294865233142895,5.77,5.74,3.48
0.7,Good,E,VS2,64.1,59.0,7.9294865233142895,5.64,5.59,3.6
0.78,Premium,F,SI1,62.4,58.0,7.9294865233142895,5.83,5.8,3.63
0.7,Very Good,E,SI1,63.2,60.0,7.9294865233142895,5.6,5.51,3.51
0.52,Ideal,F,VVS1,61.3,55.0,7.929846429742503,5.19,5.22,3.19
0.73,Very Good,H,VS2,60.8,56.0,7.930206206684683,5.82,5.84,3.55
0.74,Ideal,E,SI1,61.7,56.0,7.930206206684683,5.84,5.8,3.59
0.7,Very Good,F,VS2,63.6,57.0,7.930565854233965,5.61,5.65,3.58
0.77,Premium,G,VS2,61.2,58.0,7.930565854233965,5.9,5.93,3.62
0.71,Ideal,F,VS2,62.1,54.0,7.930565854233965,5.68,5.72,3.54
0.74,Ideal,G,VS1,61.5,55.0,7.930565854233965,5.81,5.86,3.59
0.7,Ideal,G,VS1,61.4,59.0,7.930565854233965,5.64,5.73,3.49
1.01,Premium,F,I1,61.8,60.0,7.930925372483388,6.39,6.36,3.94
0.77,Ideal,H,SI1,62.2,56.0,7.930925372483388,5.83,5.88,3.64
0.78,Ideal,H,SI1,61.2,56.0,7.930925372483388,5.92,5.99,3.64
0.72,Very Good,H,VS1,60.6,63.0,7.931284761525891,5.83,5.76,3.51
0.76,Ideal,G,VS2,61.3,56.0,7.931284761525891,5.9,5.94,3.63
0.7,Premium,E,VS1,62.9,60.0,7.931284761525891,5.62,5.54,3.51
0.75,Very Good,D,SI2,63.1,58.0,7.931284761525891,5.78,5.73,3.63
0.72,Ideal,D,SI1,60.8,57.0,7.931284761525891,5.76,5.75,3.5
0.72,Premium,D,SI1,62.7,59.0,7.931284761525891,5.73,5.69,3.58
0.7,Premium,D,SI1,62.8,60.0,7.931284761525891,5.68,5.66,3.56
0.75,Premium,F,SI1,61.4,59.0,7.931284761525891,5.88,5.85,3.6
0.52,Ideal,F,IF,62.2,55.0,7.931644021454311,5.14,5.18,3.21
0.72,Very Good,F,VS2,63.0,54.0,7.932003152361385,5.69,5.73,3.6
0.79,Very Good,H,VS1,63.7,56.0,7.932003152361385,5.85,5.92,3.75
0.72,Very Good,F,VS2,63.6,58.0,7.933079771880415,5.66,5.69,3.61
0.51,Ideal,F,VVS1,62.0,57.0,7.933079771880415,5.11,5.15,3.18
0.64,Ideal,D,VS1,61.5,56.0,7.933079771880415,5.54,5.55,3.41
0.7,Very Good,H,VVS1,60.5,60.0,7.933438387627489,5.74,5.77,3.48
0.83,Very Good,I,VS1,61.1,60.0,7.933438387627489,6.07,6.1,3.72
0.76,Ideal,I,VVS2,61.8,56.0,7.933438387627489,5.85,5.87,3.62
0.71,Good,D,VS2,63.3,56.0,7.933438387627489,5.64,5.68,3.58
0.71,Ideal,F,SI1,62.5,55.0,7.933438387627489,5.71,5.65,3.55
1.01,Fair,E,I1,64.5,58.0,7.933438387627489,6.29,6.21,4.03
1.01,Premium,H,SI2,62.7,59.0,7.933438387627489,6.31,6.22,3.93
0.77,Good,F,SI1,64.2,52.0,7.933796874815411,5.81,5.77,3.72
0.76,Good,E,SI1,63.7,54.0,7.933796874815411,5.76,5.85,3.7
0.76,Premium,E,SI1,60.4,58.0,7.933796874815411,5.92,5.94,3.58
0.76,Premium,E,SI1,61.8,58.0,7.933796874815411,5.82,5.86,3.61
1.05,Very Good,J,SI2,63.2,56.0,7.933796874815411,6.49,6.45,4.09
0.81,Ideal,G,SI2,61.6,56.0,7.933796874815411,5.97,6.01,3.69
0.7,Ideal,E,SI1,61.6,56.0,7.933796874815411,5.72,5.75,3.53
0.55,Ideal,G,IF,60.9,57.0,7.933796874815411,5.28,5.3,3.22
0.81,Good,G,SI2,61.0,61.0,7.933796874815411,5.94,5.99,3.64
0.63,Premium,E,VVS2,62.1,57.0,7.933796874815411,5.48,5.41,3.38
0.63,Premium,E,VVS1,60.9,60.0,7.933796874815411,5.55,5.52,3.37
0.77,Premium,H,VS1,61.3,60.0,7.933796874815411,5.9,5.88,3.61
0.64,Ideal,G,IF,61.3,56.0,7.934155233536322,5.54,5.58,3.41
0.76,Premium,I,VVS1,58.8,59.0,7.934155233536322,6.0,5.94,3.51
0.83,Ideal,F,SI2,62.3,55.0,7.934155233536322,6.02,6.05,3.76
0.71,Premium,F,VS1,60.1,62.0,7.934155233536322,5.77,5.74,3.46
0.71,Premium,F,VS1,61.8,59.0,7.934155233536322,5.73,5.69,3.53
0.87,Very Good,I,SI1,63.6,55.8,7.934513463882263,6.07,6.1,3.87
0.73,Ideal,E,SI1,62.2,56.0,7.934513463882263,5.74,5.78,3.58
0.71,Premium,E,SI1,59.2,59.0,7.934871565945177,5.83,5.86,3.46
0.71,Premium,E,SI1,61.8,59.0,7.934871565945177,5.7,5.75,3.54
0.71,Ideal,E,SI1,61.3,55.0,7.934871565945177,5.72,5.77,3.52
0.7,Premium,F,VS1,62.1,60.0,7.934871565945177,5.71,5.65,3.53
0.7,Premium,F,VS1,60.7,60.0,7.934871565945177,5.78,5.75,3.5
0.76,Premium,H,VVS2,59.6,57.0,7.934871565945177,5.91,5.86,3.51
0.7,Ideal,F,VS1,62.2,56.0,7.934871565945177,5.73,5.68,3.55
0.79,Very Good,G,SI1,60.6,57.0,7.935229539816907,5.98,6.06,3.65
0.7,Very Good,E,VS2,62.9,57.0,7.935229539816907,5.66,5.69,3.57
0.7,Good,E,VS2,64.1,55.0,7.935229539816907,5.6,5.66,3.61
0.76,Ideal,I,VS2,61.3,56.0,7.935229539816907,5.87,5.91,3.61
0.73,Ideal,H,VS2,62.7,55.0,7.935229539816907,5.72,5.76,3.6
0.79,Very Good,E,SI1,63.2,56.0,7.9355873855892,5.91,5.86,3.72
0.71,Very Good,E,VS2,60.7,56.0,7.935945103353701,5.81,5.82,3.53
0.81,Premium,I,VVS2,61.9,60.0,7.935945103353701,5.91,5.86,3.64
0.81,Ideal,F,SI2,62.6,55.0,7.935945103353701,5.92,5.96,3.72
0.72,Good,F,VS1,60.7,60.0,7.935945103353701,5.74,5.72,3.48
0.72,Premium,D,SI2,62.0,60.0,7.935945103353701,5.73,5.69,3.54
0.72,Premium,I,IF,63.0,57.0,7.935945103353701,5.72,5.7,3.6
0.72,Premium,G,VS2,62.9,57.0,7.935945103353701,5.73,5.65,3.58
0.73,Good,E,SI1,63.2,58.0,7.936302693201959,5.7,5.76,3.62
0.81,Very Good,H,SI2,61.3,59.0,7.936660155225426,5.94,6.01,3.66
0.81,Very Good,E,SI1,60.3,60.0,7.936660155225426,6.07,6.1,3.67
0.71,Premium,D,SI1,62.7,60.0,7.936660155225426,5.67,5.71,3.57
0.71,Premium,D,SI1,61.3,58.0,7.936660155225426,5.73,5.75,3.52
0.71,Premium,D,SI1,61.6,60.0,7.936660155225426,5.74,5.69,3.52
0.57,Ideal,F,VVS2,61.9,55.0,7.936660155225426,5.34,5.35,3.31
0.51,Ideal,D,VVS1,61.7,56.0,7.936660155225426,5.12,5.16,3.17
0.72,Ideal,G,VS2,61.9,58.0,7.936660155225426,5.72,5.75,3.55
0.74,Ideal,H,VS1,61.8,58.0,7.936660155225426,5.77,5.81,3.58
0.74,Ideal,H,VS1,61.6,56.0,7.936660155225426,5.81,5.82,3.58
0.8,Premium,F,SI2,61.0,57.0,7.936660155225426,6.03,6.01,3.67
0.8,Very Good,H,VS2,63.4,60.0,7.936660155225426,5.92,5.82,3.72
0.77,Ideal,I,VS1,61.5,59.0,7.937017489515454,5.87,5.91,3.62
0.82,Ideal,F,SI2,62.4,54.0,7.937374696163295,5.97,6.02,3.74
0.78,Ideal,D,SI1,61.9,57.0,7.937374696163295,5.91,5.86,3.64
0.6,Very Good,G,IF,61.6,56.0,7.937731775260109,5.43,5.46,3.35
0.9,Good,I,SI2,62.2,59.0,7.937731775260109,6.07,6.11,3.79
0.7,Premium,E,VS1,62.2,58.0,7.937731775260109,5.6,5.66,3.5
0.9,Very Good,I,SI2,61.3,56.0,7.937731775260109,6.17,6.23,3.8
0.83,Ideal,G,SI1,62.3,57.0,7.937731775260109,5.99,6.08,3.76
0.83,Ideal,G,SI1,61.8,57.0,7.937731775260109,6.03,6.07,3.74
0.83,Very Good,H,SI1,62.5,59.0,7.937731775260109,5.95,6.02,3.74
0.74,Premium,G,VS1,62.9,60.0,7.937731775260109,5.74,5.68,3.59
0.79,Ideal,I,VS1,61.8,59.0,7.937731775260109,5.92,5.95,3.67
0.61,Ideal,G,IF,62.3,56.0,7.937731775260109,5.43,5.45,3.39
0.96,Ideal,F,I1,60.7,55.0,7.938088726896952,6.37,6.41,3.88
0.73,Ideal,F,VS2,62.5,55.0,7.938088726896952,5.8,5.76,3.61
0.73,Premium,F,VS2,62.7,58.0,7.938088726896952,5.76,5.7,3.59
0.75,Ideal,H,SI1,60.4,57.0,7.938088726896952,5.93,5.96,3.59
0.71,Premium,F,VS2,62.1,58.0,7.938088726896952,5.7,5.67,3.53
0.71,Good,F,VS2,63.8,58.0,7.938088726896952,5.64,5.61,3.59
0.71,Premium,F,VS2,62.8,57.0,7.938088726896952,5.69,5.64,3.56
1.04,Premium,G,I1,62.2,58.0,7.938088726896952,6.46,6.41,4.0
1.0,Premium,J,SI2,62.3,58.0,7.938088726896952,6.45,6.34,3.98
0.87,Very Good,G,SI2,59.9,58.0,7.938445551164788,6.19,6.23,3.72
0.53,Ideal,F,IF,61.9,54.0,7.938445551164788,5.22,5.25,3.24
0.72,Premium,E,VS2,63.0,55.0,7.938445551164788,5.79,5.61,3.59
0.72,Premium,F,VS1,62.4,58.0,7.938445551164788,5.83,5.7,3.6
0.7,Very Good,F,VS2,62.9,58.0,7.938802248154481,5.63,5.65,3.55
0.74,Very Good,E,SI1,63.5,56.0,7.938802248154481,5.74,5.79,3.66
0.71,Ideal,G,VS2,61.3,56.0,7.938802248154481,5.75,5.71,3.51
0.73,Ideal,E,SI1,60.6,54.0,7.938802248154481,5.84,5.89,3.55
0.71,Premium,F,VS2,62.6,58.0,7.938802248154481,5.7,5.67,3.56
0.71,Premium,G,VS1,62.4,61.0,7.938802248154481,5.7,5.65,3.54
0.77,Premium,G,VS2,61.3,57.0,7.938802248154481,5.93,5.88,3.62
0.71,Premium,G,VS2,59.9,60.0,7.938802248154481,5.81,5.77,3.47
0.78,Premium,G,VS2,60.8,58.0,7.938802248154481,6.03,5.95,3.64
0.71,Very Good,G,VS1,63.5,55.0,7.938802248154481,5.66,5.64,3.59
0.91,Ideal,D,SI2,62.2,57.0,7.938802248154481,6.21,6.15,3.85
0.71,Very Good,E,VS2,63.8,58.0,7.9391588179567965,5.62,5.66,3.6
0.71,Very Good,E,VS2,64.0,57.0,7.9391588179567965,5.66,5.68,3.63
0.8,Very Good,E,SI2,62.5,56.0,7.9391588179567965,5.88,5.96,3.7
0.7,Very Good,D,SI1,62.3,58.0,7.9391588179567965,5.69,5.73,3.56
0.72,Ideal,F,VS1,61.7,57.0,7.9391588179567965,5.74,5.77,3.55
0.72,Very Good,F,VS1,62.2,58.0,7.9391588179567965,5.75,5.7,3.56
0.82,Ideal,H,VS2,61.5,56.0,7.9391588179567965,6.01,6.08,3.72
0.7,Ideal,D,SI1,61.0,59.0,7.9391588179567965,5.68,5.7,3.47
0.72,Ideal,D,SI1,62.2,56.0,7.9391588179567965,5.74,5.77,3.58
0.72,Ideal,D,SI1,61.5,54.0,7.9391588179567965,5.77,5.8,3.56
0.74,Premium,F,VS2,61.7,58.0,7.939515260662406,5.85,5.78,3.59
0.74,Premium,F,VS2,61.9,56.0,7.939515260662406,5.8,5.77,3.58
0.73,Ideal,E,SI2,61.8,58.0,7.939515260662406,5.77,5.81,3.58
